,nodeid,longitude,latitude,elevation
0,0,-122.486511,39.296139,372
1,1,-121.658623,39.282276,24
2,2,-121.658493,39.279987,26
3,3,-121.658203,39.279377,26
4,4,-122.040871,39.284943,17
5,5,-122.038498,39.275639,17
6,6,-122.18325,39.273891,25
7,7,-122.183189,39.284081,23
8,8,-122.17942,39.298203,20
9,9,-121.655777,39.274124,23
10,10,-121.655479,39.273167,23
11,11,-122.17511,39.273167,24
12,12,-122.070099,39.273071,17
13,13,-122.281792,39.271923,46
14,14,-122.285721,39.273369,51
15,15,-122.301323,39.290806,63
16,16,-122.484161,39.297173,372
17,17,-121.015839,39.260487,777
18,18,-121.012352,39.266354,800
19,19,-121.004822,39.274361,842
20,20,-120.992683,39.278385,892
21,21,-120.950882,39.283268,1103
22,22,-120.938698,39.286598,1144
23,23,-120.928337,39.291016,1152
24,24,-121.023468,39.265339,805
25,25,-121.030609,39.26696,819
26,26,-121.049889,39.264553,768
27,27,-121.066208,39.273228,731
28,28,-121.078453,39.276985,656
29,29,-121.086594,39.280861,632
30,30,-121.094337,39.282692,621
31,31,-121.101387,39.288433,480
32,32,-120.026909,39.244373,1946
33,33,-120.034286,39.252228,2000
34,34,-120.04541,39.258625,2085
35,35,-120.060753,39.26012,2169
36,36,-120.067291,39.262268,2251
37,37,-120.075783,39.268948,2181
38,38,-120.088203,39.270962,2076
39,39,-120.097794,39.275558,2027
40,40,-120.102463,39.297432,1860
41,41,-120.004807,39.23502,2070
42,42,-120.006523,39.23222,2118
43,43,-120.01519,39.236382,1932
44,44,-121.02858,39.246651,820
45,45,-121.043404,39.234146,817
46,46,-121.051468,39.223789,775
47,47,-121.05175,39.223312,775
48,48,-121.067284,39.219147,769
49,49,-121.066772,39.21891,769
50,50,-121.458603,39.297062,76
51,51,-121.472313,39.284698,46
52,52,-121.482277,39.279099,38
53,53,-121.484482,39.276505,38
54,54,-121.492737,39.256302,39
55,55,-121.511307,39.231632,22
56,56,-121.510437,39.221581,26
57,57,-121.508667,39.216373,30
58,58,-122.032158,39.25938,18
59,59,-122.033051,39.241249,15
60,60,-122.029457,39.235882,16
61,61,-122.021843,39.227005,19
62,62,-122.017883,39.2155,20
63,63,-121.652527,39.263931,23
64,64,-121.636932,39.223923,20
65,65,-121.641403,39.215065,20
66,66,-122.017433,39.214916,20
67,67,-121.056976,39.214321,748
68,68,-121.047737,39.212151,824
69,69,-121.047371,39.211773,824
70,70,-122.011322,39.207005,17
71,71,-122.018211,39.205734,17
72,72,-121.05822,39.201717,764
73,73,-121.290092,39.200592,243
74,74,-121.308884,39.211216,159
75,75,-121.312981,39.210861,140
76,76,-121.322983,39.216496,163
77,77,-121.327713,39.21703,121
78,78,-121.335739,39.224106,107
79,79,-121.346992,39.225574,112
80,80,-121.355927,39.233074,145
81,81,-121.368874,39.233345,85
82,82,-121.377739,39.228931,74
83,83,-121.387138,39.228855,83
84,84,-121.39373,39.231163,70
85,85,-121.415367,39.229309,84
86,86,-121.447861,39.221828,52
87,87,-121.463814,39.223362,47
88,88,-121.483597,39.21492,28
89,89,-121.490913,39.214214,27
90,90,-121.504738,39.214443,27
91,91,-121.057983,39.200146,764
92,92,-121.643623,39.207886,18
93,93,-121.643913,39.199543,20
