nodeid,longitude,latitude,elevation
0,-121.904167,41.974556,1364
1,-121.902153,41.974766,1322
2,-121.89679,41.988075,1250
3,-121.889603,41.998032,1264
4,-121.886681,42.008739,1247
5,-121.915062,41.970314,1296
6,-121.910088,41.973942,1339
7,-121.916199,41.969482,1296
8,-121.903198,41.968456,1362
9,-122.553284,41.895241,654
10,-122.542992,41.903084,679
11,-122.546921,41.915726,752
12,-122.520287,41.907001,770
13,-122.503967,41.906689,728
14,-122.472076,41.911068,724
15,-122.463829,41.914925,712
16,-122.454803,41.92387,788
17,-122.440536,41.946377,761
18,-122.440498,41.956013,729
19,-122.444801,41.969555,776
20,-122.442436,41.97747,745
21,-122.43322,41.98436,778
22,-122.42466,41.98502,784
23,-122.412811,41.983322,945
24,-122.402168,41.988213,868
25,-122.390503,41.988567,951
26,-122.38401,41.991646,988
27,-122.376556,41.984219,836
28,-122.372299,41.984661,947
29,-122.352539,42.00124,1001
30,-122.345123,42.010807,1018
31,-122.340134,42.017231,1018
32,-122.604172,42.012905,1175
33,-122.606087,42.009228,1125
34,-122.595833,41.973843,899
35,-122.592934,41.963806,844
36,-122.560463,41.912502,659
37,-122.552147,41.892521,668
38,-122.554909,41.879074,639
39,-122.568123,41.852474,693
40,-121.170708,42.001575,1284
41,-121.155724,41.992962,1291
42,-121.134956,41.973145,1317
43,-121.11747,41.9603,1359
44,-121.093819,41.951584,1380
45,-121.092003,41.950382,1378
46,-121.074501,41.938805,1379
47,-121.061203,41.923958,1397
48,-121.054169,41.920101,1396
49,-121.035004,41.918304,1425
50,-121.025291,41.920048,1440
51,-120.997559,41.918797,1420
52,-120.991028,41.913082,1407
53,-120.976509,41.893463,1392
54,-120.9636,41.887257,1397
55,-120.961922,41.886448,1404
56,-120.956833,41.879074,1408
57,-120.954468,41.866791,1421
58,-120.941002,41.848732,1471
59,-124.013367,41.851032,380
60,-123.996857,41.851871,198
61,-123.965439,41.84885,147
62,-123.938553,41.842316,301
63,-123.926064,41.843346,213
64,-123.91436,41.84869,214
65,-123.903633,41.859707,578
66,-123.882622,41.86702,539
67,-123.861351,41.869293,492
68,-123.85907,41.870441,401
69,-123.854073,41.872967,385
70,-123.842049,41.883606,534
71,-123.828903,41.886963,447
72,-123.768227,41.913971,428
73,-123.765663,41.929516,545
74,-123.746162,41.954208,600
75,-123.745438,41.95512,545
76,-123.744003,41.977943,630
77,-123.727364,41.986324,697
78,-123.717239,41.994991,522
79,-123.714432,42.000217,607
80,-123.7164,42.004215,596
81,-122.58165,41.846039,705
82,-122.587051,41.841614,816
83,-122.809334,41.877716,831
84,-122.804764,41.878746,761
85,-122.78611,41.876537,969
86,-122.764664,41.867592,977
87,-122.746002,41.868587,698
88,-122.728844,41.872257,711
89,-122.718941,41.871635,641
90,-122.711617,41.875465,788
91,-122.705437,41.875103,952
92,-122.687073,41.859562,732
93,-122.671944,41.852329,1003
94,-122.660439,41.847984,875
95,-122.641037,41.840649,796
96,-122.634933,41.840969,801
97,-122.624329,41.845882,756
98,-122.611794,41.846535,980
99,-120.758133,41.826836,1499
100,-120.761414,41.832542,1498
101,-120.749924,41.844856,1510
102,-120.745438,41.856468,1502
103,-120.74614,41.867668,1541
104,-120.749947,41.879444,1559
105,-120.74987,41.892735,1580
106,-120.747299,41.905422,1619
107,-120.757156,41.920654,1643
108,-120.772293,41.936382,1639
109,-120.774429,41.942982,1647
110,-120.782631,41.968315,1636
111,-120.799713,41.980766,1618
112,-120.80349,41.996441,1614
113,-120.806999,41.998379,1611
114,-120.811546,41.997528,1619
115,-120.818581,41.992008,1631
116,-120.826927,41.992626,1622
117,-120.831673,41.994747,1636
118,-120.842659,41.993435,1637
119,-120.879417,41.9818,1609
120,-120.883034,41.980022,1608
121,-120.892517,41.975365,1607
122,-120.897812,41.976318,1636
123,-120.914307,41.988773,1623
124,-120.922256,41.997417,1597
125,-120.922523,41.999634,1603
126,-120.923027,41.841377,1494
127,-120.911797,41.847977,1476
128,-120.901993,41.848106,1493
129,-120.889107,41.843536,1505
130,-120.876534,41.843536,1544
131,-120.865677,41.846451,1566
132,-120.853409,41.846436,1573
133,-120.840652,41.848499,1577
134,-120.8256,41.848125,1553
135,-120.803833,41.843636,1556
136,-120.797142,41.839748,1547
137,-120.78331,41.838078,1557
138,-120.775192,41.837093,1517
139,-120.771088,41.835178,1501
140,-120.768753,41.827244,1524
141,-122.823174,41.906887,867
142,-122.831688,41.918583,834
143,-122.833298,41.932034,832
144,-122.822281,41.94846,1072
145,-122.8283,41.953411,1046
146,-122.852386,41.957382,1177
147,-122.867378,41.962761,1269
148,-122.878662,41.971096,1121
149,-122.878403,41.977764,1193
150,-122.87355,41.984913,1516
151,-122.874817,41.988514,1563
152,-122.890266,41.985836,1658
153,-122.902153,41.987709,1745
154,-122.910606,41.982887,1488
155,-122.918243,41.972836,1559
156,-122.926308,41.954723,1578
157,-122.93232,41.947052,1594
158,-122.932083,41.941559,1555
159,-122.926231,41.935226,1602
160,-122.926529,41.931999,1641
161,-122.92067,41.931862,1658
162,-122.916817,41.933449,1597
163,-122.910919,41.932854,1619
164,-122.904121,41.926346,1717
165,-122.904388,41.923668,1710
166,-122.904739,41.920116,1678
167,-122.909721,41.911354,1691
168,-122.916946,41.906597,1717
169,-122.92202,41.908157,1778
170,-122.92588,41.912991,1925
171,-122.931923,41.90876,1943
172,-122.937721,41.911423,1937
173,-122.943817,41.926456,1971
174,-122.952744,41.932621,1846
175,-122.967339,41.937092,1922
176,-122.974312,41.936016,2037
177,-122.984459,41.929718,1979
178,-122.990883,41.935558,1904
179,-122.996452,41.945114,1805
180,-123.001518,41.943455,1949
181,-123.007004,41.933506,1968
182,-123.007507,41.932568,1970
183,-123.030457,41.915916,1567
184,-123.031761,41.910564,1491
185,-123.030281,41.901928,1099
186,-123.035263,41.899357,1114
187,-123.045311,41.90453,1342
188,-123.049553,41.900848,1211
189,-123.02861,41.851543,576
190,-123.017464,41.844593,601
191,-123.010674,41.841942,597
192,-123.005638,41.839977,524
193,-122.991951,41.826645,511
194,-122.988251,41.825802,517
195,-122.961807,41.841034,767
196,-122.941643,41.848343,705
197,-122.908836,41.855423,842
198,-122.88781,41.857262,599
199,-122.865646,41.856865,891
200,-122.843086,41.852356,674
201,-122.835358,41.853676,534
202,-122.826477,41.868168,637
203,-122.816803,41.87603,583
204,-124.198723,42.005322,34
205,-124.193527,41.973801,151
206,-124.196564,41.963032,82
